ID_Jugador,Jugador,ID_Nacion
1,Abde Ezzalzouli,30
2,Abel Ruiz,19
3,Abraham González,19
4,Adama Traoré,19
5,Adriano,7
6,Albert Jorquera,19
7,Alberto Botía,19
8,Aleix Garrido,19
9,Aleix Vidal,19
10,Alejandro Balde,19
11,Alexander Hleb,6
12,Alexandre Song,11
13,Alexis Olmedo,19
14,Alexis Sánchez,9
15,Alvaro Sanz,19
16,Ander Astralaga,19
17,Andrea Orlandi,19
18,Andreas Christensen,16
19,Andres Cuenca,19
20,Andreu Fontàs,19
21,André Gomes,36
22,Andrés Iniesta,19
23,Ansu Fati,19
24,Antoine Griezmann,20
25,Arda Turan,44
26,Arnau Comas,19
27,Arnau Tenas,19
28,Arthur Melo,7
29,Arturo Vidal,9
30,Bojan Krkić,19
31,Borja López,19
32,Carles Aleñá,19
33,Carles Planas,19
34,Carles Puyol,19
35,Carles Pérez,19
36,Cesc Fàbregas,19
37,Chadi Riad,30
38,Chumi,19
39,Claudio Bravo,9
40,Clément Lenglet,20
41,Cristian Tello,19
42,Damià Abella,19
43,Dani Alves,7
44,Dani Morer,19
45,Dani Olmo,19
46,Daniel Rodriguez,19
47,David Costas,19
48,David Villa,19
49,Deco,36
50,Demetrio Albertini,29
51,Denis Suárez,19
52,Diego Kochen,47
53,Dmytro Chygrynskiy,45
54,Douglas,7
55,Edgar Davids,34
56,Edmílson,7
57,Eiður Guðjohnsen,28
58,Emerson,7
59,Eric García,19
60,Estanis,19
61,Fali,19
62,Fermin López,19
63,Fernando Navarro,19
64,Ferran Jutglà,19
65,Ferrán Torres,19
66,Francisco Martos,19
67,Francisco Trincão,36
68,Franck Kessié,10
69,Frenkie de Jong,34
70,Gabri García,19
71,Gabriel Milito,2
72,Gavi,19
73,Gerard Deulofeu,19
74,Gerard Gumbau,19
75,Gerard López,19
76,Gerard Martín,19
77,Gerard Piqué,19
78,Gianluca Zambrotta,29
79,Giovani dos Santos,31
80,Giovanni van Bronckhorst,34
81,Guillem Jaime,19
82,Guillermo Fernandez,19
83,Henrik Larsson,43
84,Héctor Bellerín,19
85,Héctor Fort,19
86,Ibrahim Afellay,34
87,Ilaix Moriba,26
88,Ilias Akhomach,30
89,Isaac Cuenca,19
90,Ivan Rakitić,13
91,Iñaki Peña,19
92,Iñigo Martínez,19
93,Jandro Orellana,19
94,Jasper Cillessen,34
95,Javier Mascherano,2
96,Javier Saviola,2
97,Jean Marie Dongou,11
98,Jean-Clair Todibo,20
99,Jeffrén Suárez,48
100,Jeison Murillo,12
101,Jesús Olmo,19
102,Jokin Ezkieta,19
103,Jonathan dos Santos,31
104,Jordi Alba,19
105,Jordi Masip,19
106,Jorge Cuenca,19
107,José Arnaiz,19
108,José Manuel Pinto,19
109,José Manuel Rueda,19
110,João Cancelo,36
111,João Félix,36
112,Juan Cámara,19
113,Juan Miranda,19
114,Jules Koundé,20
115,Juliano Belletti,7
116,Junior Firpo,17
117,Jérémy Mathieu,20
118,Kevin-Prince Boateng,23
119,Kike Saverio,19
120,Konrad De La Fuente,47
121,Lamine Yamal,19
122,Landry Farré,19
123,Lazar Carević,33
124,Lilian Thuram,20
125,Lionel Messi,2
126,Lucas De Vega,19
127,Lucas Digne,20
128,Ludovic Giuly,20
129,Ludovic Sylvestre,24
130,Ludovit Reis,34
131,Luis Enrique,19
132,Luis García,19
133,Luis Suárez,46
134,Luuk de Jong,34
135,Malcom,7
136,Marc Bartra,19
137,Marc Bernal,19
138,Marc Cardona,19
139,Marc Casado,19
140,Marc Crosas,19
141,Marc Guiu,19
142,Marc Muniesa,19
143,Marc Overmars,34
144,Marc-André ter Stegen,22
145,Marcos Alonso,19
146,Mario,19
147,Mark van Bommel,34
148,Marlon,7
149,Martin Braithwaite,16
150,Martí Riverola,19
151,Martín Cáceres,46
152,Martín Montoya,19
153,Matheus Fernandes,7
154,Maxi López,2
155,Maxwell,7
156,Memphis,34
157,Michael Reiziger,34
158,Mika Mármol,19
159,Mikayil Ngor Faye,39
160,Miralem Pjanić,5
161,Monchu,19
162,Moussa Wagué,39
163,Munir El Haddadi,30
164,Neto,7
165,Neymar,7
166,Nicolás González,19
167,Nili,19
168,Noah Darvich,22
169,Nolito,19
170,Nélson Semedo,36
171,Oier Olazábal,19
172,Oleguer Presas,19
173,Oriol Busquets,19
174,Oriol Romeu,19
175,Ousmane Dembélé,20
176,Pablo Torre,19
177,Paco Alcácer,19
178,Paco Montañés,19
179,Patrick Kluivert,34
180,Patrik Andersson,43
181,Pau Cubarsí,19
182,Pau Prim,19
183,Pau Victor,19
184,Paulinho,7
185,Pedri,19
186,Pedro,19
187,Philippe Coutinho,7
188,Phillip Cocu,34
189,Pierre-Emerick Aubameyang,21
190,Pitu,19
191,Player,0
192,Rafael Márquez,31
193,Rafinha,7
194,Ramón Masó,19
195,Ramón Ros,19
196,Raphinha,7
197,Rey Manaj,1
198,Ricardo Quaresma,36
199,Riqui Puig,19
200,Robert Lewandowski,35
201,Rodri,19
202,Ronald Araújo,46
203,Ronaldinho,7
204,Rubén,19
205,Rüştü Reçber,44
206,Samuel Eto'o,11
207,Samuel Umtiti,20
208,Sandro Ramírez,19
209,Santi Ramos Mingo,2
210,Santiago Ezquerro,19
211,Sergi Dominguez,19
212,Sergi Roberto,19
213,Sergi Samper,19
214,Sergio Agüero,2
215,Sergio Akieme,19
216,Sergio Busquets,19
217,Sergio García,19
218,Sergio Santamaría,19
219,Sergiño Dest,47
220,Seydou Keita,32
221,Sylvinho,7
222,Thiago Alcántara,19
223,Thiago Motta,29
224,Thierry Henry,20
225,Thomas Vermaelen,4
226,Toni Fernández,19
227,Unai Hernandez,19
228,Vitor Roque,7
229,Víctor Sánchez,19
230,Víctor Valdés,19
231,Víctor Vázquez,19
232,Wilfrid Kaptoum,11
233,Wojciech Szczęsny,35
234,Xavi,19
235,Xavi Torres,19
236,Yaya Touré,10
237,Yerry Mina,12
238,Yusuf Demir,3
239,Zlatan Ibrahimović,43
240,Àlex Carbonell,19
241,Álex Collado,19
242,Álex Valle,19
243,Álvaro Cortés,19
244,Ángel Alarcón,19
245,Áron Yaakobishvili,27
246,Éric Abidal,20
247,Óscar López,19
248,Óscar Mingueza,19
249,İlkay Gündoğan,22
