Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Squad
Dani Alves,br BRA,"DF,MF",32.0,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Javier Mascherano,ar ARG,"DF,MF",31.0,2,2,180,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Lionel Messi,ar ARG,"FW,MF",28.0,2,2,180,2.0,1,0,1,1,0,0,0,0,0.5,0.0,0.5,0.5,0.5,Matches,Barcelona
Luis Suárez,uy URU,FW,28.0,2,2,180,2.0,0,1,1,0,0,0,0,0,0.0,0.5,0.5,0.0,0.5,Matches,Barcelona
Pedro,es ESP,"FW,MF",28.0,2,2,137,1.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Andrés Iniesta,es ESP,MF,31.0,2,1,129,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Ivan Rakitić,hr CRO,MF,27.0,2,1,98,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Adriano,br BRA,"DF,MF",30.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Marc Bartra,es ESP,DF,24.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Claudio Bravo,cl CHI,GK,32.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Sergio Busquets,es ESP,MF,27.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Jérémy Mathieu,fr FRA,DF,31.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Marc-André ter Stegen,de GER,GK,23.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Thomas Vermaelen,be BEL,DF,29.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Sergi Roberto,es ESP,"DF,MF",23.0,1,1,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Gerard Piqué,es ESP,DF,28.0,1,1,55,0.6,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Rafinha,br BRA,MF,22.0,1,1,51,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Sandro Ramírez,es ESP,"FW,MF",20.0,2,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
Munir El Haddadi,ma MAR,"FW,MF",19.0,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,Barcelona
